epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,734.404,1.53881,0.3537,1,1.46408,0.00332196,0.00332196,0.00332196
2,1257.32,1.43122,0.42054,1,1.33478,0.00652352,0.00652352,0.00652352
3,1659.3,1.33928,0.46011,1,1.23419,0.00959307,0.00959307,0.00959307
4,1922.42,1.2485,0.50367,1,1.13684,0.009406,0.009406,0.009406
5,2143.11,1.1609,0.52682,1,1.09373,0.009208,0.009208,0.009208
6,2322.14,1.09728,0.56067,1,1.03252,0.00901,0.00901,0.00901
7,2503.35,1.04322,0.58046,1,0.9967,0.008812,0.008812,0.008812
8,2685.61,0.99475,0.60423,1,0.94008,0.008614,0.008614,0.008614
9,2865.4,0.95037,0.64642,1,0.85605,0.008416,0.008416,0.008416
10,3044.79,0.911,0.64144,1,0.87788,0.008218,0.008218,0.008218
11,3225.5,0.88091,0.66484,1,0.82724,0.00802,0.00802,0.00802
12,3790.73,0.84185,0.69011,1,0.77576,0.007822,0.007822,0.007822
13,4188.09,0.80836,0.69732,1,0.76089,0.007624,0.007624,0.007624
14,4361.07,0.78995,0.68289,1,0.77675,0.007426,0.007426,0.007426
15,4540.58,0.75686,0.72085,1,0.70801,0.007228,0.007228,0.007228
16,4722.47,0.73743,0.73192,1,0.67525,0.00703,0.00703,0.00703
17,4905.84,0.71654,0.74599,1,0.6666,0.006832,0.006832,0.006832
18,5089.06,0.68697,0.75706,1,0.63089,0.006634,0.006634,0.006634
19,5272.52,0.66493,0.77063,1,0.60455,0.006436,0.006436,0.006436
20,5454.97,0.64873,0.76789,1,0.60681,0.006238,0.006238,0.006238
21,5638.54,0.63067,0.78357,1,0.57465,0.00604,0.00604,0.00604
22,5816.2,0.61495,0.78731,1,0.56336,0.005842,0.005842,0.005842
23,5991.29,0.59681,0.8046,1,0.52057,0.005644,0.005644,0.005644
24,6174.26,0.57887,0.8005,1,0.51926,0.005446,0.005446,0.005446
25,6383.88,0.56146,0.81867,1,0.49611,0.005248,0.005248,0.005248
26,6817.14,0.55083,0.82775,1,0.4648,0.00505,0.00505,0.00505
27,7360.35,0.52866,0.83796,1,0.45222,0.004852,0.004852,0.004852
28,7780.7,0.51745,0.83883,1,0.44199,0.004654,0.004654,0.004654
29,8020.4,0.49947,0.8407,1,0.43494,0.004456,0.004456,0.004456
30,8285.9,0.49323,0.85016,1,0.41358,0.004258,0.004258,0.004258
31,8503.97,0.47432,0.8524,1,0.40265,0.00406,0.00406,0.00406
32,8721.48,0.46014,0.86011,1,0.39409,0.003862,0.003862,0.003862
33,8938.64,0.446,0.86185,1,0.38517,0.003664,0.003664,0.003664
34,9382.51,0.42535,0.8621,1,0.38103,0.003466,0.003466,0.003466
35,10064.6,0.41361,0.8692,1,0.36642,0.003268,0.003268,0.003268
36,10555.3,0.39895,0.87131,1,0.35966,0.00307,0.00307,0.00307
37,10869.1,0.38235,0.88164,1,0.34742,0.002872,0.002872,0.002872
38,11052.6,0.36548,0.88314,1,0.33294,0.002674,0.002674,0.002674
39,11237.7,0.34786,0.8855,1,0.32817,0.002476,0.002476,0.002476
40,11416.9,0.33913,0.88749,1,0.32247,0.002278,0.002278,0.002278
41,11621,0.31778,0.88724,1,0.32324,0.00208,0.00208,0.00208
42,11801.5,0.30505,0.89098,1,0.31516,0.001882,0.001882,0.001882
43,11985.4,0.29673,0.89334,1,0.30776,0.001684,0.001684,0.001684
44,12164.5,0.27998,0.89807,1,0.30597,0.001486,0.001486,0.001486
45,12343.4,0.26865,0.89633,1,0.30082,0.001288,0.001288,0.001288
46,12523.6,0.25992,0.89857,1,0.29463,0.00109,0.00109,0.00109
47,12702.5,0.24649,0.89994,1,0.28959,0.000892,0.000892,0.000892
48,13135.5,0.23423,0.90131,1,0.29047,0.000694,0.000694,0.000694
49,13438.9,0.22541,0.90268,1,0.28847,0.000496,0.000496,0.000496
50,13619.2,0.21792,0.90193,1,0.28689,0.000298,0.000298,0.000298
