epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,504.819,0.21376,0.9018,1,0.28682,0.0001,0.0001,0.0001
2,683.893,0.21605,0.9028,1,0.28947,9.93906e-05,9.93906e-05,9.93906e-05
3,860.807,0.21372,0.90143,1,0.29035,9.75773e-05,9.75773e-05,9.75773e-05
4,1040.03,0.21601,0.90342,1,0.28658,9.46048e-05,9.46048e-05,9.46048e-05
5,1221.16,0.21195,0.90205,1,0.28644,9.05463e-05,9.05463e-05,9.05463e-05
6,1399.02,0.20944,0.90243,1,0.28819,8.55018e-05,8.55018e-05,8.55018e-05
7,1573.89,0.20562,0.9018,1,0.28691,7.95954e-05,7.95954e-05,7.95954e-05
8,1751.44,0.20287,0.90292,1,0.28777,7.29725e-05,7.29725e-05,7.29725e-05
9,1926.82,0.20632,0.90417,1,0.286,6.57963e-05,6.57963e-05,6.57963e-05
10,2104.09,0.20626,0.90342,1,0.28667,5.82435e-05,5.82435e-05,5.82435e-05
11,2289.76,0.20787,0.90255,1,0.28339,5.05e-05,5.05e-05,5.05e-05
12,2466.76,0.20104,0.9018,1,0.28831,4.27565e-05,4.27565e-05,4.27565e-05
13,2646.1,0.21249,0.9033,1,0.28565,3.52037e-05,3.52037e-05,3.52037e-05
14,2833.11,0.21244,0.90342,1,0.28575,2.80275e-05,2.80275e-05,2.80275e-05
15,3011.92,0.2107,0.90205,1,0.28391,2.14046e-05,2.14046e-05,2.14046e-05
16,3186.53,0.20678,0.90305,1,0.2812,1.54982e-05,1.54982e-05,1.54982e-05
17,3364.04,0.20451,0.90305,1,0.28415,1.04537e-05,1.04537e-05,1.04537e-05
18,3538.99,0.20546,0.90268,1,0.28161,6.39518e-06,6.39518e-06,6.39518e-06
19,3716.1,0.20816,0.90305,1,0.28125,3.4227e-06,3.4227e-06,3.4227e-06
